"test_ligand","auroc","aupr","aupr_corrected","pearson","activity_rank","window","baseline_model_time","response_model_time","n_background","n_targets"
"Clu",0.634965986394558,0.272470915956258,0.127122078746956,0.204167804354629,7,"t0p50_to_t0p55",0.5,0.55,344,50
"Col1a1",0.64625850340136,0.271981794622143,0.126632957412841,0.210306119094962,8,"t0p50_to_t0p55",0.5,0.55,344,50
"Nts",0.638639455782313,0.271553481048844,0.126204643839542,0.185482201417526,9,"t0p50_to_t0p55",0.5,0.55,344,50
"Fn1",0.636122448979591,0.270385450720126,0.125036613510824,0.204183195539079,10,"t0p50_to_t0p55",0.5,0.55,344,50
"Igf2",0.608095238095238,0.268235885452074,0.122887048242772,0.0923865788401685,11,"t0p50_to_t0p55",0.5,0.55,344,50
"C3",0.63795918367347,0.26737941906871,0.122030581859408,0.206105768673281,12,"t0p50_to_t0p55",0.5,0.55,344,50
"Sema3a",0.633945578231291,0.264773350520965,0.119424513311663,0.198440801482112,13,"t0p50_to_t0p55",0.5,0.55,344,50
"Sema3e",0.64455782312925,0.260716107783516,0.115367270574214,0.192725854827769,14,"t0p50_to_t0p55",0.5,0.55,344,50
"C1qb",0.646530612244897,0.258791973768525,0.113443136559223,0.202578653417398,15,"t0p50_to_t0p55",0.5,0.55,344,50
"Apoe",0.64047619047619,0.257237505010713,0.111888667801411,0.137472983171554,16,"t0p50_to_t0p55",0.5,0.55,344,50
"Ccn2",0.621836734693877,0.256818112984163,0.11146927577486,0.188329574381385,17,"t0p50_to_t0p55",0.5,0.55,344,50
"Cdh4",0.633265306122448,0.256445652344814,0.111096815135512,0.187678341347666,18,"t0p50_to_t0p55",0.5,0.55,344,50
"Lcn2",0.657755102040816,0.255023383641865,0.109674546432563,0.0711914167481602,19,"t0p50_to_t0p55",0.5,0.55,344,50
"Cd300c2",0.654217687074829,0.251144571494815,0.105795734285513,0.0661288159040368,20,"t0p50_to_t0p55",0.5,0.55,344,50
"Sema3d",0.643333333333332,0.242514634394563,0.0971657971852604,0.173084305463571,21,"t0p50_to_t0p55",0.5,0.55,344,50
"Lgals3bp",0.626938775510204,0.242497404193291,0.0971485669839885,0.131239269636855,22,"t0p50_to_t0p55",0.5,0.55,344,50
"Igf1",0.625034013605441,0.219367243100851,0.074018405891549,0.126226171707624,23,"t0p50_to_t0p55",0.5,0.55,344,50
"Dcn",0.594421768707483,0.227417374468287,0.0820685372589843,0.1467259999174,1,"t0p55_to_t0p60",0.55,0.6,344,50
"Cd300c2",0.63612244897959,0.20811447442734,0.0627656372180372,0.0464308638801758,2,"t0p55_to_t0p60",0.55,0.6,344,50
