pair,auc,peak_time,peak_score,trough_time,start_score,end_score,delta_end_start,score_range,cluster_id,shape_rank
SEMA7A_ITGB1_ITGA1,0.05638054139987129,1.5,0.02329136067208551,4.0,0.014159033999356096,0.004776698616136528,-0.009382335383219568,0.018514662055948983,2,56
COL4A2_ITGA1_ITGB1,0.037652015538330606,1.5,0.01531089201994866,4.0,0.011224927833004574,0.0037591906012139865,-0.007465737231790588,0.011551701418734673,2,57
SPP1_ITGA8_ITGB1,0.03733702238768187,1.5,0.015879450179013394,4.0,0.01128143530614997,0.0021611917866204127,-0.009120243519529557,0.013718258392392981,2,58
LAMA1_ITGA7_ITGB1,0.02560274167956685,1.5,0.009234317581233362,4.0,0.00669146272082966,0.003334772167060801,-0.003356690553768859,0.005899545414172562,2,59
LAMA5_ITGA7_ITGB1,0.05819234818883587,0.5,0.021092138254632405,4.0,0.013598446639853448,0.008526187801076666,-0.005072258838776782,0.01256595045355574,2,60
WNT11_FZD7,0.094759093200417,0.5,0.035714790151225154,4.0,0.025115503282421344,0.011030104680000173,-0.014085398602421171,0.02468468547122498,2,61
LAMA2_ITGA1_ITGB1,0.0359806749505912,1.5,0.0161692125003261,3.5,0.010575756750768791,0.0031986212483702246,-0.007377135502398567,0.012980534443788782,2,62
ESAM_ESAM,0.04031095409399257,0.5,0.016908196507931607,4.0,0.014278948065073434,0.003772377520212483,-0.010506570544860951,0.013135818987719124,2,63
LAMA4_ITGA1_ITGB1,0.05041667336446662,0.5,0.02280587644244836,3.5,0.016523109428468827,0.004389318675585419,-0.012133790752883409,0.019407391264043755,2,64
SPP1_ITGAV_ITGB6,0.05393932364022155,0.5,0.025256295595723392,3.5,0.020878679954772963,0.004091168922795453,-0.01678751103197751,0.021993218831025167,2,65
ANGPTL4_CDH5,0.12106196948020118,0.5,0.0492857979183013,4.0,0.044042796786293095,0.012478523134075643,-0.03156427365221745,0.03680727478422566,2,66
LAMA2_ITGA7_ITGB1,0.05429358766906252,0.5,0.02202668188085282,4.0,0.017213410869730248,0.006553934023234648,-0.0106594768464956,0.015472747857618173,2,67
