raw_gene,variance,rank
TMEM167A,0.0007776883957051333,229
TSHZ1,0.0007695092090190504,230
ANXA4,0.0007654906820300173,231
PLXNA3,0.0007509546310187339,232
GPR37L1,0.0007492156987136,233
LRFN1,0.000743936140040226,234
NLGN2,0.0007432007964487556,235
NRN1,0.0007388465371238543,236
AMEX60DD041525,0.0007367973917022432,237
NMB,0.0007347622480679259,238
CBLN2,0.0007144671776153108,239
CACNA1E,0.0007076430962581915,240
OLFM2,0.0007070757689810343,241
CYP7B1,0.0006966163397173546,242
CHSY3,0.0006961386166570173,243
AEBP1,0.0006951652379080951,244
AMEX60DDU001038372,0.0006949774590382725,245
TMCC2,0.0006939295833404838,246
AMEX60DD053544,0.0006918228821564891,247
SFRP1,0.0006891486398176693,248
ASIC2,0.0006863400581145593,249
PLXNA1,0.0006840357603779553,250
LOC115480479[nr] | AMEX60DD025374,0.0006810429609658002,251
AMEX60DD004787,0.000677650489821175,252
PPP1R10,0.0006725763964637136,253
PTPRF,0.0006683144418033332,254
LOC106702273[nr] | AMEX60DD006662,0.0006523234475939933,255
LOC115094431[nr] | AMEX60DD022547,0.0006507182362167016,256
RALGPS1,0.000650029208058758,257
GAL3ST3,0.0006389797251635722,258
IGSF11,0.0006369554527253775,259
NDUFA8,0.0006353674470102618,260
PTPRR,0.000635145125741358,261
SLC7A3,0.0006255689668364213,262
DUSP1,0.0006186755490332597,263
PTPRT,0.0006074941809922174,264
GABRB2,0.000605465431256778,265
YARS1,0.0005958150654961879,266
BTBD6[nr] | AMEX60DD011029,0.0005851945178727558,267
AMEX60DD053827,0.0005793940040334878,268
TENT4A,0.0005728897533516322,269
MAB21L1,0.0005657996835005904,270
POLR2G,0.0005625734156620435,271
PNO1,0.000562361034833975,272
TNC,0.0005579335888555579,273
EFNA3,0.000551174640001289,274
NRXN1,0.0005504673185960368,275
DESI1,0.0005497519051678112,276
ARL4D,0.0005487736186736691,277
FN1,0.0005484233659767171,278
SDHAF2,0.0005462151613102971,279
SHANK2[nr] | AMEX60DD005060,0.000545717350564335,280
AMEX60DD032648,0.0005427623200027769,281
VIP,0.0005414404001763082,282
ETV1,0.0005317760587695326,283
CXCL12,0.0005245215436673304,284
CDH8,0.0005244043138116445,285
GPNMB,0.0005177356063379891,286
CTSV,0.0005174564837627831,287
MRPS18C,0.0005173181401589137,288
RASD2,0.0005170238464360779,289
CHST11,0.0005151263151633779,290
TTC29,0.0005099557219430634,291
KCTD12,0.0004912925742646669,292
SGK1,0.00048787891103137276,293
JUN,0.00048013127382188873,294
TNFRSF19,0.00047585185329633686,295
ST6GALNAC2,0.0004734834407655949,296
EMB,0.00046760301018828904,297
SEMA6D,0.00046710598507328894,298
TRAPPC2L,0.0004654123537264124,299
ACY3,0.00045632902554758364,300
DAG1,0.00045336365011600273,301
LRRN1,0.00045173152646630607,302
PLXNA4,0.0004511074926654223,303
SEMA3A,0.00044484150540610945,304
AMEX60DD024630,0.0004443352384109368,305
CD5L,0.00044134228645935185,306
MMP2,0.00044051521489372667,307
FOXP2,0.0004385368818099583,308
CERS6,0.00043657945496179993,309
TXNDC9,0.00043594941995097795,310
LRRTM4,0.00043430473294297687,311
ACHE,0.0004313525370030378,312
SOX5,0.00042941175507701473,313
FRY,0.00042819401710355573,314
FXYD1,0.00042724116148983943,315
CXCR4,0.0004244666193141021,316
FAM135B,0.00042427841700394217,317
FLNA,0.0004233528692120824,318
AMEX60DD001639,0.0004151431957815964,319
DLX6__2,0.00041460366059103813,320
LRRC4C,0.00041419175519980016,321
CSF1R,0.00040609625540955754,322
FGFR1,0.00040600003940100254,323
PAG1,0.00040416520765508,324
MRPL10,0.0004032310736289735,325
LOC100189574[nr] | AMEX60DD011987,0.00040108845547772473,326
GPC4,0.00039846109110346306,327
BMPR2,0.00039380825981138025,328
WNT7B,0.00039349580354655563,329
PLP1,0.0003921942189412753,330
TMCC1,0.00038850185710431897,331
SOX19[nr] | AMEX60DD012772,0.00038701621838609107,332
MYO1C,0.0003839894096285987,333
LHFPL6,0.0003733337545770173,334
KCNJ10,0.0003681556610134111,335
NPTX1,0.00036336676307699976,336
ENPP2[nr] | AMEX60DD040394,0.0003621538452394044,337
KCTD16,0.0003617601365182494,338
MED21,0.0003565155108717503,339
STOM,0.00035498540351766366,340
FKBP10,0.0003515544585451338,341
MIA,0.0003499265421627968,342
FKBP11,0.00034986258560146927,343
ALDH2,0.0003479526785388346,344
CASR,0.00034767567034709715,345
PPFIA4,0.0003454364054718284,346
DCN,0.00034535493251404897,347
FBN2,0.00034507267867864587,348
EEF1E1,0.00034442506729696356,349
ARPC1B,0.0003391965307881992,350
PHB,0.000338568183995729,351
ANO5,0.00033680493032793335,352
KCNG1,0.00033636262943210343,353
CDH13,0.00033546897005380227,354
MYG1,0.0003344563886693203,355
PLBD1,0.00033282755147945976,356
NTS,0.0003290931120098912,357
TYRO3,0.00032646120738440354,358
CBLN4,0.00032580331579652017,359
CTSZ,0.00032569408103437156,360
CAMKK1,0.00032282620513211265,361
BAG6,0.0003202893095311285,362
THBS1,0.0003195077450489431,363
AMEX60DD046228,0.00031920628653891477,364
CHST8,0.0003186310234279497,365
DARPP32,0.0003104220417181049,366
IL1RAP,0.0003099868047561655,367
CHGB,0.0003070265663957012,368
PLPBP,0.00029948015250758395,369
UBL7,0.0002974649624846444,370
SRRM4,0.0002972426047615094,371
SLC25A18,0.00029683267970588795,372
