display_order,title,time,origin,celltype,count,fraction,color
7,2.5,2.5,generated_global_t0,Mesentery,2,1.9817677368212444e-05,#e71d36ff
7,2.5,2.5,generated_global_t0,Mesothelium,5,4.9544193420531116e-05,#ff8383ff
8,3.0 (generated),3.0,generated_global_t0,Connective tissue,18703,0.17784433984690723,#0bd3b1ff
8,3.0 (generated),3.0,generated_global_t0,Lung,1686,0.01603194979318214,#7ec136ff
8,3.0 (generated),3.0,generated_global_t0,Brain,27595,0.26239718537536255,#ef833aff
8,3.0 (generated),3.0,generated_global_t0,Cavity,12866,0.1223410830599534,#dfdce0ff
8,3.0 (generated),3.0,generated_global_t0,Epidermis,2710,0.025769029620120763,#036df4ff
8,3.0 (generated),3.0,generated_global_t0,Liver,6404,0.06089478438644035,#c923b1ff
8,3.0 (generated),3.0,generated_global_t0,Smooth muscle,2167,0.020605714829078116,#fc5151ff
8,3.0 (generated),3.0,generated_global_t0,Mucosal epithelium,623,0.005924024152522227,#2f7dd1ff
8,3.0 (generated),3.0,generated_global_t0,Jaw and tooth,6450,0.06133219226929111,#f062f9ff
8,3.0 (generated),3.0,generated_global_t0,Kidney,342,0.0032520325203252032,#62cfe8ff
8,3.0 (generated),3.0,generated_global_t0,Olfactory epithelium,15,0.0001426330052774212,#60a9eaff
8,3.0 (generated),3.0,generated_global_t0,GI tract,396,0.0037655113393239197,#5c5ca6ff
8,3.0 (generated),3.0,generated_global_t0,Spinal cord,7526,0.07156373318119146,#f9d5baff
8,3.0 (generated),3.0,generated_global_t0,Meninges,4441,0.04222887842913517,#dfca43ff
8,3.0 (generated),3.0,generated_global_t0,Blood vessel,130,0.001236152712404317,#b3a726ff
8,3.0 (generated),3.0,generated_global_t0,Adipose tissue,1520,0.014453477868112014,#bf024fff
8,3.0 (generated),3.0,generated_global_t0,Heart,4956,0.047125944943659966,#d3245aff
8,3.0 (generated),3.0,generated_global_t0,Cartilage,1805,0.017163504968383016,#35586dff
8,3.0 (generated),3.0,generated_global_t0,Muscle,581,0.005524651737745447,#af1041ff
8,3.0 (generated),3.0,generated_global_t0,Dorsal root ganglion,2083,0.019806969999524558,#b74c11ff
8,3.0 (generated),3.0,generated_global_t0,Pancreas,60,0.0005705320211096848,#739b1eff
8,3.0 (generated),3.0,generated_global_t0,Cartilage primordium,1239,0.011781486235914991,#3cb44bff
8,3.0 (generated),3.0,generated_global_t0,Choroid plexus,703,0.006684733514001806,#bd3addff
8,3.0 (generated),3.0,generated_global_t0,Sympathetic nerve,4,3.803546807397899e-05,#cc5a0dff
8,3.0 (generated),3.0,generated_global_t0,Facial nerve,11,0.00010459753720344221,#dd7936ff
8,3.0 (generated),3.0,generated_global_t0,Adrenal gland,76,0.0007226738934056008,#d147a3ff
8,3.0 (generated),3.0,generated_global_t0,Inner ear,73,0.0006941472923501164,#03fff4ff
