condition,condition_label,condition_order,sender_type,receiver_type,pair_label,pair_order,reference_mean_D_AB_state,condition_mean_D_AB_state,condition_percentile,condition_rank_descending,n_directed_pairs
formal_seed44_cutoff1p2,"1.2×, seed 44",10,"Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer","Musculature System, Yolk Syncytial Layer → Musculature System, Yolk Syncytial Layer",0,23.604977536873676,24.975028295562225,100.0,1.0,698
formal_seed44_cutoff1p2,"1.2×, seed 44",10,Fast Muscle Cell,Fast Muscle Cell,Fast Muscle Cell → Fast Muscle Cell,1,10.634106021669831,3.189892264272728,99.42693409742121,5.0,698
formal_seed44_cutoff1p2,"1.2×, seed 44",10,Spinal Cord Ventral Region,Spinal Cord Ventral Region,Spinal Cord Ventral Region → Spinal Cord Ventral Region,2,8.99144364987238,4.494326842624846,99.8567335243553,2.0,698
formal_seed44_cutoff1p2,"1.2×, seed 44",10,Pigment Cell,Pigment Cell,Pigment Cell → Pigment Cell,3,5.859461148984961,1.9330991484705016,98.42406876790831,12.0,698
formal_seed44_cutoff1p2,"1.2×, seed 44",10,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region,Spinal Cord Dorsal Region → Spinal Cord Dorsal Region,4,5.536850381900846,2.474503351847107,99.2836676217765,6.0,698
formal_seed44_cutoff1p2,"1.2×, seed 44",10,"Musculature System, Yolk Syncytial Layer",Yolk Syncytial Layer,"Musculature System, Yolk Syncytial Layer → Yolk Syncytial Layer",5,4.326627911006477,4.113305936270796,99.7134670487106,3.0,698
formal_seed44_cutoff1p2,"1.2×, seed 44",10,Eye,Eye,Eye → Eye,6,4.22893406444942,2.1678234929720026,98.9971346704871,8.0,698
formal_seed44_cutoff1p2,"1.2×, seed 44",10,Pronephros,Pronephros,Pronephros → Pronephros,7,4.172555226311167,3.240787651615696,99.5702005730659,4.0,698
formal_seed44_cutoff1p2,"1.2×, seed 44",10,Spinal Cord Anterior Region,Spinal Cord Anterior Region,Spinal Cord Anterior Region → Spinal Cord Anterior Region,8,3.632030316478843,2.091413140481123,98.71060171919771,10.0,698
formal_seed44_cutoff1p2,"1.2×, seed 44",10,Nervous System,Spinal Cord Anterior Region,Nervous System → Spinal Cord Anterior Region,9,3.4997444291859767,2.2511629489102813,99.14040114613181,7.0,698
