variant,reference,timepoint,velocity_key,celltype,n_cells,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted
translate_moderate,baseline_repeat,D14,interaction,Epi-epithelial cells,6,0.9336109490335297,0.9716467049179942
translate_moderate,baseline_repeat,D14,interaction,Erythrocytes,241,0.8733653881573232,0.9965320944584558
translate_moderate,baseline_repeat,D14,interaction,Fibroblast cells,264,0.8578501045674376,0.9752071265585707
translate_moderate,baseline_repeat,D14,interaction,Immature myocardial cells,203,0.8858412426962053,0.9897610557551565
translate_moderate,baseline_repeat,D14,interaction,Mural cells,46,0.7924388674634748,0.9832623794248775
translate_moderate,baseline_repeat,D14,interaction,TMSB4X high cells,101,0.8769303800098412,0.9726975071771562
translate_moderate,baseline_repeat,D14,interaction,Valve cells,20,0.8045294059830874,0.9713246979802735
translate_moderate,baseline_repeat,D14,interaction,Vascular endothelial cells,77,0.9690781412812626,0.9973693334587728
rotate_low,baseline_repeat,D4,full,Cardiomyocytes-1,1,0.9998877173947966,0.9998877173947966
rotate_low,baseline_repeat,D4,full,Endocardial cells,32,0.9970596718355261,0.9987645727782548
rotate_low,baseline_repeat,D4,full,Epi-epithelial cells,2,0.9998126684682365,0.9998126684682365
rotate_low,baseline_repeat,D4,full,Immature myocardial cells,61,0.9952908697362225,0.9991088448474239
rotate_low,baseline_repeat,D4,full,TMSB4X high cells,5,0.9995275623306364,0.999879195653097
rotate_low,baseline_repeat,D4,full,Valve cells,46,0.9108378718388582,0.9903084802198475
rotate_low,baseline_repeat,D4,interaction,Cardiomyocytes-1,1,0.9993139610104553,0.9993139610104553
rotate_low,baseline_repeat,D4,interaction,Endocardial cells,32,0.931872564147104,0.9936628748104552
rotate_low,baseline_repeat,D4,interaction,Epi-epithelial cells,2,0.9999406250762652,0.9999406250762652
rotate_low,baseline_repeat,D4,interaction,Immature myocardial cells,61,0.9802684579377869,0.9982355560963335
rotate_low,baseline_repeat,D4,interaction,TMSB4X high cells,5,0.9983322505460877,0.9992482117644425
rotate_low,baseline_repeat,D4,interaction,Valve cells,46,0.9135460273421387,0.9938183434073168
rotate_low,baseline_repeat,D7,full,Cardiomyocytes-1,79,0.992836823303036,0.9980995973027915
rotate_low,baseline_repeat,D7,full,Cardiomyocytes-2,10,0.992862829241183,0.9952337710164688
rotate_low,baseline_repeat,D7,full,Endocardial cells,89,0.9801350331936054,0.9984264376530569
rotate_low,baseline_repeat,D7,full,Epi-epithelial cells,36,0.9886765308116902,0.9962247719937618
rotate_low,baseline_repeat,D7,full,Erythrocytes,34,0.9859661184780137,0.9960881510387125
rotate_low,baseline_repeat,D7,full,Fibroblast cells,1,0.9454855040629494,0.9454855040629494
rotate_low,baseline_repeat,D7,full,Immature myocardial cells,202,0.9885265708405757,0.9979689890409957
rotate_low,baseline_repeat,D7,full,MT-enriched cardiomyocytes,18,0.9947459803994398,0.9963208909958251
rotate_low,baseline_repeat,D7,full,Macrophages,3,0.9960426885391032,0.9952203658327173
rotate_low,baseline_repeat,D7,full,Valve cells,54,0.9926421064169454,0.9986395741900962
rotate_low,baseline_repeat,D7,full,Vascular endothelial cells,2,0.9411593213396325,0.9411593213396325
rotate_low,baseline_repeat,D7,interaction,Cardiomyocytes-1,79,0.7409997251642781,0.9305187964010382
rotate_low,baseline_repeat,D7,interaction,Cardiomyocytes-2,10,0.9845487017472973,0.9948688972961192
rotate_low,baseline_repeat,D7,interaction,Endocardial cells,89,0.9257160176308131,0.9774209384322914
rotate_low,baseline_repeat,D7,interaction,Epi-epithelial cells,36,0.8429811445484501,0.9773414079083714
rotate_low,baseline_repeat,D7,interaction,Erythrocytes,34,0.922885135187151,0.9924825353176234
rotate_low,baseline_repeat,D7,interaction,Fibroblast cells,1,0.9944617384366615,0.9944617384366615
rotate_low,baseline_repeat,D7,interaction,Immature myocardial cells,202,0.9051571284268737,0.9879879463486865
rotate_low,baseline_repeat,D7,interaction,MT-enriched cardiomyocytes,18,0.9259777164809277,0.9927261438799202
rotate_low,baseline_repeat,D7,interaction,Macrophages,1,0.9727263446216418,0.9727263446216418
rotate_low,baseline_repeat,D7,interaction,Valve cells,54,0.9310823574645322,0.9861393717234006
rotate_low,baseline_repeat,D7,interaction,Vascular endothelial cells,2,0.8411239970804063,0.8411239970804063
