condition,sender_type,receiver_type,raw_attention_mean,n_directed_edges,zero_completed_no_edge,rank_from_top,n_complete_directed_type_pairs
pre_interaction,Erythroid Lineage Cell,"Segmental Plate, Tail Bud",0.03375152737966601,7,False,46,196
pre_interaction,Erythroid Lineage Cell,Somite,0.030318533556897211,67,False,92,196
pre_interaction,Erythroid Lineage Cell,Yolk Syncytial Layer,0,0,True,119,196
pre_interaction,Erythroid Lineage Cell,"Yolk Syncytial Layer, Periderm",0,0,True,119,196
pre_interaction,Forebrain,Angioblastic Mesenchymal Cell,0.033434679492925938,78,False,50,196
pre_interaction,Forebrain,Erythroid Lineage Cell,0.0253828503191471,1,False,116,196
pre_interaction,Forebrain,Forebrain,0.031863669633399247,1167,False,68,196
pre_interaction,Forebrain,Hatching Gland,0.043643019162118379,16,False,10,196
pre_interaction,Forebrain,"Immature Eye, Midbrain",0.03575587774748383,23,False,34,196
pre_interaction,Forebrain,Nervous System,0.032790115539516676,175,False,58,196
pre_interaction,Forebrain,Neural Crest,0.032063953498871874,234,False,64,196
pre_interaction,Forebrain,"Neural Crest, Otic Vesicle",0.034809578854877163,13,False,42,196
pre_interaction,Forebrain,Notochord,0.031697533791884731,16,False,72,196
pre_interaction,Forebrain,Pronephros,0,0,True,119,196
pre_interaction,Forebrain,"Segmental Plate, Tail Bud",0,0,True,119,196
pre_interaction,Forebrain,Somite,0.041049111634492798,1,False,15,196
pre_interaction,Forebrain,Yolk Syncytial Layer,0,0,True,119,196
pre_interaction,Forebrain,"Yolk Syncytial Layer, Periderm",0,0,True,119,196
pre_interaction,Hatching Gland,Angioblastic Mesenchymal Cell,0.042421103370460546,11,False,11,196
pre_interaction,Hatching Gland,Erythroid Lineage Cell,0,0,True,119,196
pre_interaction,Hatching Gland,Forebrain,0.040346688519303571,13,False,16,196
pre_interaction,Hatching Gland,Hatching Gland,0.053989599882201672,66,False,3,196
pre_interaction,Hatching Gland,"Immature Eye, Midbrain",0.033158544450998299,1,False,54,196
pre_interaction,Hatching Gland,Nervous System,0.040208315476775149,2,False,17,196
pre_interaction,Hatching Gland,Neural Crest,0.034593392920214634,32,False,43,196
pre_interaction,Hatching Gland,"Neural Crest, Otic Vesicle",0.041069511324167203,2,False,14,196
pre_interaction,Hatching Gland,Notochord,0.038186408579349497,1,False,26,196
pre_interaction,Hatching Gland,Pronephros,0,0,True,119,196
pre_interaction,Hatching Gland,"Segmental Plate, Tail Bud",0,0,True,119,196
pre_interaction,Hatching Gland,Somite,0,0,True,119,196
