time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver
1.5,"[""WNT2B"",""FZD3_LRP6""]",WNT2B,FZD3_LRP6,WNT2B_FZD3_LRP6,0.518101282612192,0.2783468367318738,126,19,19,0,361,wntEGC,wntEGC
2.0,"[""WNT2B"",""FZD3_LRP6""]",WNT2B,FZD3_LRP6,WNT2B_FZD3_LRP6,0.39966150376002824,0.15603349507058814,185,18,18,0,324,wntEGC,wntEGC
2.5,"[""WNT2B"",""FZD3_LRP6""]",WNT2B,FZD3_LRP6,WNT2B_FZD3_LRP6,0.6939200324412688,0.1845524031478971,191,22,22,0,484,wntEGC,sfrpEGC
3.0,"[""WNT2B"",""FZD3_LRP6""]",WNT2B,FZD3_LRP6,WNT2B_FZD3_LRP6,0.7618692801147503,0.498368931360863,202,21,21,0,441,wntEGC,wntEGC
3.5,"[""WNT2B"",""FZD3_LRP6""]",WNT2B,FZD3_LRP6,WNT2B_FZD3_LRP6,0.7360241416461397,0.1780832614780894,194,21,21,0,441,sfrpEGC,sfrpEGC
4.0,"[""WNT2B"",""FZD3_LRP6""]",WNT2B,FZD3_LRP6,WNT2B_FZD3_LRP6,0.43479502425538885,0.3300620608691548,157,20,20,0,400,wntEGC,wntEGC
0.0,"[""WNT2B"",""FZD4_LRP5""]",WNT2B,FZD4_LRP5,WNT2B_FZD4_LRP5,0.0070984368214592735,0.002230972284472383,96,18,18,0,324,wntEGC,reaEGC
0.5,"[""WNT2B"",""FZD4_LRP5""]",WNT2B,FZD4_LRP5,WNT2B_FZD4_LRP5,0.0056184289171829094,0.0027431012315853004,120,19,19,0,361,wntEGC,wntEGC
1.0,"[""WNT2B"",""FZD4_LRP5""]",WNT2B,FZD4_LRP5,WNT2B_FZD4_LRP5,0.0036429444242575327,0.0019998822971174723,93,19,19,0,361,wntEGC,wntEGC
1.5,"[""WNT2B"",""FZD4_LRP5""]",WNT2B,FZD4_LRP5,WNT2B_FZD4_LRP5,0.010342033628827014,0.004359631873044978,126,19,19,0,361,wntEGC,wntEGC
2.0,"[""WNT2B"",""FZD4_LRP5""]",WNT2B,FZD4_LRP5,WNT2B_FZD4_LRP5,0.017660968197862083,0.010000261029246274,121,18,18,0,324,reaEGC,reaEGC
2.5,"[""WNT2B"",""FZD4_LRP5""]",WNT2B,FZD4_LRP5,WNT2B_FZD4_LRP5,0.026871073900732786,0.006041933483010985,191,22,22,0,484,sfrpEGC,sfrpEGC
3.0,"[""WNT2B"",""FZD4_LRP5""]",WNT2B,FZD4_LRP5,WNT2B_FZD4_LRP5,0.049969820847111976,0.026385603445362425,170,21,21,0,441,reaEGC,reaEGC
3.5,"[""WNT2B"",""FZD4_LRP5""]",WNT2B,FZD4_LRP5,WNT2B_FZD4_LRP5,0.03741123509829128,0.008094491013404105,194,21,21,0,441,sfrpEGC,sfrpEGC
4.0,"[""WNT2B"",""FZD4_LRP5""]",WNT2B,FZD4_LRP5,WNT2B_FZD4_LRP5,0.0072909257397664835,0.0036709362446296083,133,20,20,0,400,wntEGC,wntEGC
0.0,"[""WNT2B"",""FZD4_LRP6""]",WNT2B,FZD4_LRP6,WNT2B_FZD4_LRP6,0.0070984368214592735,0.002230972284472383,96,18,18,0,324,wntEGC,reaEGC
0.5,"[""WNT2B"",""FZD4_LRP6""]",WNT2B,FZD4_LRP6,WNT2B_FZD4_LRP6,0.0056184289171829094,0.0027431012315853004,120,19,19,0,361,wntEGC,wntEGC
1.0,"[""WNT2B"",""FZD4_LRP6""]",WNT2B,FZD4_LRP6,WNT2B_FZD4_LRP6,0.0036429444242575327,0.0019998822971174723,93,19,19,0,361,wntEGC,wntEGC
1.5,"[""WNT2B"",""FZD4_LRP6""]",WNT2B,FZD4_LRP6,WNT2B_FZD4_LRP6,0.010342033628827014,0.004359631873044978,126,19,19,0,361,wntEGC,wntEGC
2.0,"[""WNT2B"",""FZD4_LRP6""]",WNT2B,FZD4_LRP6,WNT2B_FZD4_LRP6,0.017660968197862083,0.010000261029246274,121,18,18,0,324,reaEGC,reaEGC
