time,pair_id,ligand,receptor,pair,cell_type,incoming,outgoing,total,n_cells,n_expression_cells,expression_supported
0.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,mpEX,8.225366002167e-05,9.228754751190274e-05,0.00017454120753357275,320,320,True
0.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,dpEX,7.680182111432108e-05,7.257518945474104e-05,0.00014937701056906214,633,633,True
0.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,CMPN,2.9106531350980036e-05,6.375952031669126e-05,9.28660516676713e-05,669,669,True
0.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,MCG,3.3041400019444175e-05,0.0,3.3041400019444175e-05,121,121,True
0.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,MSN,3.2734313457614325e-08,3.6683098853097615e-06,3.7010441987673757e-06,797,797,True
0.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,nptxEX,2.6440848806532053e-08,3.196161362259845e-06,3.222602211066377e-06,406,406,True
0.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,sstIN,2.6313592877984075e-07,0.0,2.6313592877984075e-07,295,295,True
0.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,wntEGC,0.002136044106767242,0.0019643726065533625,0.004100416713320605,474,474,True
0.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,sfrpEGC,0.0012479090817717957,0.001115021706047639,0.0023629307878194348,286,286,True
0.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,VLMC,0.00037372672736684043,0.0001127563269201689,0.00048648305428700936,1219,1219,True
0.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,mpEX,6.374244727831459e-05,4.466619746306829e-05,0.00010840864474138289,505,505,True
0.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,CMPN,3.058026636370684e-05,4.707569251438372e-05,7.765595887809056e-05,764,764,True
0.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,MCG,3.421252415901864e-05,4.208519410037957e-05,7.629771825939821e-05,61,61,True
0.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,nptxEX,9.67671132605233e-06,4.963545415378854e-05,5.9312165479840867e-05,362,362,True
0.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,MSN,2.6418775288069736e-05,1.865282380908972e-05,4.507159909715946e-05,1005,1005,True
0.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,dpEX,8.588019637280158e-06,2.269990019443763e-05,3.1287919831717786e-05,645,645,True
0.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,sstIN,1.1825104858189986e-06,1.4230833900503505e-06,2.605593875869349e-06,229,229,True
1.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,wntEGC,0.0018656313804791785,0.0020389335733119037,0.0039045649537910823,505,505,True
1.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,sfrpEGC,0.00021126952776752685,0.0,0.00021126952776752685,231,231,True
1.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,VLMC,3.5381368627642726e-05,7.391346867914914e-05,0.00010929483730679187,929,929,True
1.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,MCG,4.621484782678009e-06,7.839170208550798e-05,8.301318686818599e-05,221,221,True
1.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,mpEX,7.973570341254296e-06,3.723754287642064e-05,4.521111321767494e-05,815,815,True
1.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,dpEX,2.6356554201251547e-06,3.834566590875343e-05,4.0981321328878584e-05,381,381,True
1.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,nptxEX,9.74169524832888e-07,1.906268643397249e-05,2.0036855958805377e-05,343,343,True
1.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,MSN,1.0968566919220447e-06,9.4721347916515e-06,1.0568991483573544e-05,604,604,True
1.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,sstIN,8.519464414964424e-07,4.420731098664382e-06,5.272677540160824e-06,297,297,True
1.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,CMPN,1.934974589005056e-06,0.0,1.934974589005056e-06,409,409,True
1.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,wntEGC,0.002656300430733231,0.00231297331762907,0.004969273748362301,432,432,True
1.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,sfrpEGC,0.0008948948776467073,0.0007789675411209652,0.0016738624187676724,351,351,True
1.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,MSN,0.00011562944059323835,7.593530891924585e-05,0.00019156474951248422,1819,1819,True
1.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,MCG,0.00013824279575972982,4.448037949022128e-05,0.00018272317524995109,193,193,True
1.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,mpEX,6.6801839931728e-05,8.360718776972718e-05,0.00015040902770145517,868,868,True
1.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,VLMC,5.775376973588638e-05,3.400851790305962e-05,9.176228763894601e-05,1154,1154,True
1.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,nptxEX,2.0109616828033685e-05,5.421782663530711e-05,7.432744346334079e-05,421,421,True
1.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,CMPN,3.2520005621900156e-05,3.6260250797927444e-05,6.87802564198276e-05,920,920,True
1.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,dpEX,3.0545145066875934e-06,1.3097875346990293e-05,1.6152389853677888e-05,530,530,True
1.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,sstIN,1.7198290741914517e-06,3.24937217538987e-06,4.969201249581322e-06,204,204,True
2.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,wntEGC,0.005694092459132224,0.00645194831241217,0.012146040771544395,257,257,True
2.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,VLMC,0.0004061440323177409,0.0002867478305507655,0.0006928918628685064,1471,1471,True
2.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,sfrpEGC,0.00014948759142140836,0.0,0.00014948759142140836,302,302,True
2.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,MSN,1.600271090162779e-05,4.83835463587969e-06,2.084106553750748e-05,1741,1741,True
