variant,reference,timepoint,velocity_key,celltype,n_cells,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted
translate_strong,baseline_repeat,D7,full,Fibroblast cells,1,0.9284441373183858,0.9284441373183858
translate_strong,baseline_repeat,D7,full,Immature myocardial cells,202,0.9720565425814655,0.9946066016387065
translate_strong,baseline_repeat,D7,full,MT-enriched cardiomyocytes,18,0.9970912844890351,0.997976758007771
translate_strong,baseline_repeat,D7,full,Macrophages,3,0.996811176533452,0.9982818358037265
translate_strong,baseline_repeat,D7,full,Valve cells,54,0.9852579792282937,0.991468242789658
translate_strong,baseline_repeat,D7,full,Vascular endothelial cells,2,0.9722090916549455,0.9722090916549455
translate_strong,baseline_repeat,D7,interaction,Cardiomyocytes-1,79,0.6704667097987178,0.9349072899809117
translate_strong,baseline_repeat,D7,interaction,Cardiomyocytes-2,10,0.7391391499885502,0.9846950161250805
translate_strong,baseline_repeat,D7,interaction,Endocardial cells,89,0.8916111408408471,0.9784408035092935
translate_strong,baseline_repeat,D7,interaction,Epi-epithelial cells,36,0.9687031952837901,0.9904733777409094
translate_strong,baseline_repeat,D7,interaction,Erythrocytes,34,0.6301907654861151,0.8904170452243428
translate_strong,baseline_repeat,D7,interaction,Fibroblast cells,1,0.9994031570624926,0.9994031570624926
translate_strong,baseline_repeat,D7,interaction,Immature myocardial cells,202,0.872678389510145,0.9776963330640647
translate_strong,baseline_repeat,D7,interaction,MT-enriched cardiomyocytes,18,0.8604657346657967,0.9791512631375432
translate_strong,baseline_repeat,D7,interaction,Macrophages,2,0.981072302998433,0.981072302998433
translate_strong,baseline_repeat,D7,interaction,Valve cells,54,0.8958763176782456,0.9792303532947325
translate_strong,baseline_repeat,D7,interaction,Vascular endothelial cells,2,0.9611002210639421,0.9611002210639421
translate_strong,baseline_repeat,D10,full,Cardiomyocytes-1,225,0.9698697849759376,0.9926702830807899
translate_strong,baseline_repeat,D10,full,Endocardial cells,65,0.9479003856954283,0.989849153978062
translate_strong,baseline_repeat,D10,full,Epi-epithelial cells,84,0.9874347951724045,0.9972982857891886
translate_strong,baseline_repeat,D10,full,Erythrocytes,133,0.9925878954385112,0.9980166583911706
translate_strong,baseline_repeat,D10,full,Fibroblast cells,12,0.996225505598583,0.9981431813132937
