time,cell_index,x,y,growth,final_knn10_brain_support,retained_in_figure
2.0,39620,0.6961599,2.5490556,0.15599512,1,True
2.0,45841,0.56675947,3.818849,0.11648745,1,True
2.0,51875,-0.49288884,2.6500826,0.07683707,1,True
2.0,56840,-1.0208963,3.5838265,0.15068804,1,True
2.0,59774,1.2068646,3.0023315,0.008892341,1,True
2.0,62206,0.75119025,2.5335414,0.21462911,1,True
2.0,64156,0.61056167,2.5633545,0.066878416,1,True
2.0,64177,1.2461177,2.8261147,0.11495327,1,True
2.0,67338,0.16546327,2.8440466,0.03387299,1,True
2.0,67584,1.0555735,3.0742872,0.1937431,1,True
2.0,67949,-0.13645568,2.7102904,0.22952443,1,True
2.0,70696,-0.1646381,2.7202532,0.15877953,1,True
2.0,78943,0.9595173,3.2332127,0.011557888,1,True
2.0,80577,-0.06956519,2.6975186,0.30964714,1,True
2.0,80794,0.69582534,2.4827774,0.16346441,1,True
2.0,88355,0.65847623,2.5739992,0.13892245,1,True
2.0,90373,-0.35400507,2.7291634,0.17316967,1,True
2.25,482,0.6304981,3.8208177,0.052305393,1,True
2.25,1369,0.6732753,2.624538,0.22119555,1,True
2.25,1627,0.45832682,2.766512,-0.017987315,1,True
2.25,3246,-0.31815574,2.707108,0.06927419,1,True
2.25,3342,0.3544671,2.578303,0.04198475,1,True
2.25,6236,1.1343482,2.836486,0.14476135,1,True
2.25,8527,-0.8745475,3.9025595,0.15105848,1,True
2.25,13842,0.8908533,3.4278634,0.09347121,1,True
2.25,13966,1.1973381,3.0325909,0.123726346,1,True
2.25,15068,0.35443604,2.7712069,0.10866586,1,True
2.25,16951,1.0822483,3.2004373,0.08318574,1,True
2.25,17502,0.6782733,2.5484054,0.18425253,1,True
2.25,21269,0.6340194,2.509058,-0.0006419383,1,True
2.25,25546,-1.009483,3.007117,0.0358138,1,True
2.25,31763,-1.1659752,3.5240304,0.2730347,1,True
2.25,33448,0.54173815,3.9698884,0.111388125,1,True
2.25,33893,0.59840566,2.4836948,0.034760877,1,True
2.25,34529,-0.85386384,2.868686,0.006957868,1,True
2.25,34956,-1.160679,3.413263,-0.005471037,1,True
2.25,38177,-1.3122602,2.889158,0.014581731,1,True
2.25,38837,0.98301107,2.6319017,0.18682729,1,True
2.25,39093,1.1279852,2.7029614,0.012663836,1,True
2.25,39153,1.3560132,2.7542582,0.13617311,1,True
2.25,41001,0.63888466,2.4936476,0.057998016,1,True
2.25,45417,1.1181483,2.7486956,0.051505007,1,True
2.25,46239,0.82070243,2.600863,0.080175444,1,True
2.25,46540,0.4536113,2.5776196,0.086684436,1,True
2.25,50166,-0.17414431,2.7279236,0.053682536,1,True
2.25,51629,0.5424831,2.6721604,0.019890329,1,True
2.25,53483,-0.8373178,2.802144,0.22948878,1,True
2.25,61261,-1.2553686,3.1973507,0.09963059,1,True
2.25,63229,-1.0554543,2.915574,0.058035463,1,True
2.25,65013,-0.9681054,2.8388648,0.1471072,1,True
2.25,66145,0.9514455,2.832268,0.073241584,1,True
2.25,66332,-0.52554643,2.7364042,0.12272725,1,True
2.25,66795,0.8718257,2.325236,0.09191427,1,True
2.25,71812,1.1967123,3.229111,0.15867026,1,True
2.25,72123,0.5270806,2.5540557,0.14596774,1,True
2.25,72985,0.77639574,2.4622514,0.104150206,1,True
2.25,75230,-0.9644458,2.8605096,0.06616961,1,True
2.25,76098,-0.5116504,2.513458,0.21515116,1,True
2.25,77041,0.95448923,2.6148705,0.060035594,1,True
2.25,78991,-0.94295895,3.8192382,0.086541936,1,True
2.25,83224,-1.2130651,3.323408,0.12155282,1,True
2.25,84992,0.6984885,2.80945,0.11784657,1,True
2.25,86038,-0.4710526,2.613029,0.1503925,1,True
2.25,88825,0.85337234,2.4831548,0.16415605,1,True
2.25,92118,0.743345,2.4388611,-0.029321652,1,True
2.25,92839,0.9738001,2.555747,-0.013841927,1,True
2.25,94458,0.7563961,2.5173714,-0.06912109,1,True
2.25,95689,0.4914121,2.7099116,-0.06156943,1,True
2.25,97238,0.56036675,2.6869733,-0.050745673,1,True
2.5,1001,0.5801875,2.6568866,0.053567335,1,True
2.5,5034,0.6942708,2.3974154,0.037986882,1,True
2.5,6811,1.136678,2.7122667,0.09452667,1,True
2.5,9765,-0.8788866,3.8832822,0.084515326,1,True
2.5,14266,0.8940489,2.3006392,0.013991466,1,True
2.5,16897,-0.81892467,2.894181,0.107291006,1,True
2.5,18778,-0.48260474,2.6524694,0.102680735,1,True
2.5,20128,1.27568,2.8898566,0.11474692,1,True
2.5,20685,0.22843792,4.262608,0.064991534,1,True
2.5,23586,0.009128179,2.7927697,0.086321585,1,True
2.5,24998,-0.33740395,2.7212687,0.13960214,1,True
2.5,26116,0.58278596,2.7694612,0.080958195,1,True
2.5,29868,-1.2752938,3.3187783,0.14009435,1,True
2.5,31093,0.9176882,2.2111022,0.03721758,1,True
2.5,33948,-0.4201777,2.7098904,0.06949047,1,True
2.5,34149,-0.059381742,2.8466794,0.0336947,1,True
2.5,36347,0.8743171,2.345215,0.027536126,1,True
2.5,37413,-1.1358418,3.669301,0.032616794,1,True
2.5,38184,1.1966146,2.8430774,0.14388397,1,True
2.5,38528,1.1575832,2.7232323,0.0067030806,1,True
2.5,42108,0.41089043,2.3035629,0.03680644,1,True
2.5,43242,0.4944866,2.5961215,0.069616705,1,True
2.5,49613,0.60055816,2.6509926,0.0356585,1,True
2.5,50318,1.1349491,2.6203349,0.14071423,1,True
2.5,53079,0.29268658,2.5521038,0.19277833,1,True
2.5,53913,1.1284162,2.6896198,0.08765973,1,True
2.5,54011,-0.8904028,3.9017222,0.066890225,1,True
2.5,55176,-0.9736301,2.8727446,0.07171933,1,True
2.5,69524,-0.49584058,2.540397,0.26989192,1,True
2.5,70800,1.0301853,2.5120375,0.14133947,1,True
2.5,74552,1.2208194,2.8642251,-0.006315518,1,True
2.5,74875,0.4980228,2.54424,0.086752005,1,True
2.5,74887,-0.9839318,2.832117,0.025985984,1,True
2.5,75378,1.0069456,2.5191355,0.021519316,1,True
2.5,75539,0.47157326,2.6032135,0.14083716,1,True
2.5,81704,-0.7236781,4.100999,0.09122598,1,True
2.5,82207,0.71874195,2.7637208,0.04146979,1,True
2.5,84145,0.642007,2.3395736,-0.0054787956,1,True
2.5,84604,-0.999185,2.9706478,0.060222052,1,True
2.5,86477,1.0115982,2.6509519,0.049777836,1,True
2.5,86729,0.56555575,2.6087112,0.0036734734,1,True
2.5,89966,1.240933,2.7609446,-0.025404865,1,True
2.5,92769,0.7466435,2.795971,-0.020839922,1,True
2.5,93181,-0.94866174,2.7991862,-0.029335279,1,True
2.5,93292,0.39753878,2.7888696,-0.012477629,1,True
2.5,95480,0.72256994,2.6372044,-0.052821472,1,True
2.5,99414,0.22344846,2.9224112,-0.061194673,1,True
2.75,3435,0.8429215,2.4316335,0.10249484,1,True
2.75,6901,0.6121188,2.5821242,-0.011696359,1,True
2.75,10266,-1.1584109,3.5948641,0.074878454,1,True
