niche,time,dpi,condition,pathway,interaction_class,lr_score
N2_reaEGC_wntEGC,0.0,2,uninj,EDN,Secreted Signaling,0.33669628104568156
N2_reaEGC_wntEGC,0.0,2,uninj,EGF,Secreted Signaling,0.16933789029277735
N2_reaEGC_wntEGC,0.0,2,uninj,EPHA,Cell-Cell Contact,9.064048318154875
N2_reaEGC_wntEGC,0.0,2,uninj,EPHB,Cell-Cell Contact,9.572865294489247
N2_reaEGC_wntEGC,0.0,2,uninj,ESAM,Cell-Cell Contact,0.018175656550899286
N2_reaEGC_wntEGC,0.0,2,uninj,FGF,Secreted Signaling,2.288433334704468
N2_reaEGC_wntEGC,0.0,2,uninj,FN1,ECM-Receptor,0.46794752522985694
N2_reaEGC_wntEGC,0.0,2,uninj,GALANIN,Secreted Signaling,0.004970604632606479
N2_reaEGC_wntEGC,0.0,2,uninj,GAS,Secreted Signaling,0.7600649830314001
N2_reaEGC_wntEGC,0.0,2,uninj,GDF,Secreted Signaling,0.35074648030899463
N2_reaEGC_wntEGC,0.0,2,uninj,GDNF,Secreted Signaling,0.0
N2_reaEGC_wntEGC,0.0,2,uninj,GPR,Secreted Signaling,0.24170052657323216
N2_reaEGC_wntEGC,0.0,2,uninj,GRN,Secreted Signaling,5.3645719801441185
N2_reaEGC_wntEGC,0.0,2,uninj,HH,Secreted Signaling,0.0029958744664989796
N2_reaEGC_wntEGC,0.0,2,uninj,HSPG,ECM-Receptor,1.0289589290093943
N2_reaEGC_wntEGC,0.0,2,uninj,JAM,Cell-Cell Contact,6.508330955357405
N2_reaEGC_wntEGC,0.0,2,uninj,L1CAM,Cell-Cell Contact,15.320701452761144
N2_reaEGC_wntEGC,0.0,2,uninj,LAMININ,ECM-Receptor,12.638400907149949
N2_reaEGC_wntEGC,0.0,2,uninj,MAG,Cell-Cell Contact,0.0
N2_reaEGC_wntEGC,0.0,2,uninj,MPZ,Cell-Cell Contact,0.06691431146563581
N2_reaEGC_wntEGC,0.0,2,uninj,MSTN,Secreted Signaling,0.01763670009894373
N2_reaEGC_wntEGC,0.0,2,uninj,NCAM,Cell-Cell Contact,9.848908453492507
N2_reaEGC_wntEGC,0.0,2,uninj,NEGR,Cell-Cell Contact,0.10541655553886117
N2_reaEGC_wntEGC,0.0,2,uninj,NGL,Cell-Cell Contact,0.11721272016989026
N2_reaEGC_wntEGC,0.0,2,uninj,NMU,Secreted Signaling,0.0
N2_reaEGC_wntEGC,0.0,2,uninj,NOTCH,Cell-Cell Contact,0.3493883870457314
