benchmark,split,method,space,projection_repeat,projection_seed,projection_sha256,n_projections,primary_metric,primary_value,sliced_w2,exact_w1,exact_w2,n_predicted,n_observed,predicted_weight_sum,exact_ot_predicted_points,exact_ot_observed_points,target,dataset
mosta,loto_t1,SpaTrack (PCA/Euclidean),state,3,1954614931,97036921cf8b7ab1c8c5e39e60797f488fcb6378a3aa7b53b544e44ede91d3aa,1024,sliced_w2,0.0562402378270166,0.0562402378270166,0.9420457310182352,0.9543473364488104,5000,77369,5000.0,800,800,1,mosta
mosta,loto_t1,SpaTrack (PCA/Euclidean),state,4,4072313392,4ce6bd71809f4d2ad65fbf96df8d76e00cd82d1ad39ee289c1df9c1cba5b75d9,1024,sliced_w2,0.0545157584260024,0.0545157584260024,0.9420457310182352,0.9543473364488104,5000,77369,5000.0,800,800,1,mosta
mosta,loto_t1,SpaTrack (PCA/Euclidean),spatial,0,1068913998,52ece23e6f43de80ef82f2583554265fdd1c58b0a57c13e78946119eeb81d948,1024,sliced_w2,0.1745419065707406,0.1745419065707406,0.2580054150800195,0.2896437041809716,5000,77369,5000.0,800,800,1,mosta
mosta,loto_t1,SpaTrack (PCA/Euclidean),spatial,1,2472886,9097987288c4c67482e3a322d8af3d75d578ba225705928bcce4f71364bc7beb,1024,sliced_w2,0.1730162069592494,0.1730162069592494,0.2580054150800195,0.2896437041809716,5000,77369,5000.0,800,800,1,mosta
mosta,loto_t1,SpaTrack (PCA/Euclidean),spatial,2,180087849,4fb6379652d2d8ef75824dc8cca8e8a014c088140f7de0c80d18c7358888404e,1024,sliced_w2,0.1746808076487152,0.1746808076487152,0.2580054150800195,0.2896437041809716,5000,77369,5000.0,800,800,1,mosta
mosta,loto_t1,SpaTrack (PCA/Euclidean),spatial,3,3944844486,06eaa207103c09788333dcc3bef8fb12887230efe75741bdb2519a21a5297a2d,1024,sliced_w2,0.1726329116845197,0.1726329116845197,0.2580054150800195,0.2896437041809716,5000,77369,5000.0,800,800,1,mosta
mosta,loto_t1,SpaTrack (PCA/Euclidean),spatial,4,4254892877,028797341d8f2ff76e6e0a02830ae95465187778f661eeb0cc88430c73e56736,1024,sliced_w2,0.1736016087478652,0.1736016087478652,0.2580054150800195,0.2896437041809716,5000,77369,5000.0,800,800,1,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),joint,0,2121921275,4b4bb81973f8bc036d8c9d3eb656ac9e829373a8dabe9be579b289c4fd2c198c,1024,sliced_w2,0.0752379508580947,0.0752379508580947,1.0530375058281605,1.0675166074519902,5000,102519,5000.0,800,800,2,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),joint,1,4254003733,01e4089df9426942fbee736dfe9750401b7c9c474c3d31f89e96530db72d8a4b,1024,sliced_w2,0.0747028187823885,0.0747028187823885,1.0530375058281605,1.0675166074519902,5000,102519,5000.0,800,800,2,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),joint,2,3075233285,38e63ac0bf4c87b48a16647440ebd9d4e39144e74472ec6a85d382f740e0e228,1024,sliced_w2,0.0768357711314814,0.0768357711314814,1.0530375058281605,1.0675166074519902,5000,102519,5000.0,800,800,2,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),joint,3,3402730691,7d467f2d5fbbd2d319261ae06949c0553297a5a9fe87cd30f631b7942a47b705,1024,sliced_w2,0.0756436235441545,0.0756436235441545,1.0530375058281605,1.0675166074519902,5000,102519,5000.0,800,800,2,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),joint,4,715734373,734a7aadd7d02568a9de39abbcfefbc2432e855673bcc1d7f72ebc6a8cfd2a52,1024,sliced_w2,0.0754562790599292,0.0754562790599292,1.0530375058281605,1.0675166074519902,5000,102519,5000.0,800,800,2,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),state,0,3612496204,ec5c5ba61a59c02f643044d8447d6c70d1a83852644119effdf4ce6a393eb3ce,1024,sliced_w2,0.0537441087741604,0.0537441087741604,0.8831563600596021,0.8958623191485819,5000,102519,5000.0,800,800,2,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),state,1,1692254602,8bf2255097f6604581bebf2fdddab0e2a28895c79466fad7fae59910727b98b3,1024,sliced_w2,0.0529140220546144,0.0529140220546144,0.8831563600596021,0.8958623191485819,5000,102519,5000.0,800,800,2,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),state,2,445713409,b068a1d31cb96672644ffcd6b3b53d5822a5f666a2428936fccc9316feed0f2d,1024,sliced_w2,0.053933038493564,0.053933038493564,0.8831563600596021,0.8958623191485819,5000,102519,5000.0,800,800,2,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),state,3,1057650929,8131992e68a4a63008beec293c439a90708975414e5d071140c86c47b5f7a156,1024,sliced_w2,0.0554428156679243,0.0554428156679243,0.8831563600596021,0.8958623191485819,5000,102519,5000.0,800,800,2,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),state,4,4265444634,cd6bdbaf546d6ab1b8db63e8936da94fcc1e23227753cc3ab4788c8883183986,1024,sliced_w2,0.0545111665384422,0.0545111665384422,0.8831563600596021,0.8958623191485819,5000,102519,5000.0,800,800,2,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),spatial,0,3595962470,ec41ac2cbb37d0e54956aa3e54f85b31b3b093d7f9989a201bf3de18c887c0e9,1024,sliced_w2,0.2862367628023569,0.2862367628023569,0.3821062253591584,0.42044144262466,5000,102519,5000.0,800,800,2,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),spatial,1,3249144725,14930d3b7ef88d3f40970609236d8877ba0ddbee54fbce77bfce2203ce95cf8a,1024,sliced_w2,0.2872241805998662,0.2872241805998662,0.3821062253591584,0.42044144262466,5000,102519,5000.0,800,800,2,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),spatial,2,2897567843,bc83baf7774ce7623a3cae7c945ab4ff80eeb8b7edae48ece005953977e7966d,1024,sliced_w2,0.2867938708519786,0.2867938708519786,0.3821062253591584,0.42044144262466,5000,102519,5000.0,800,800,2,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),spatial,3,3031773240,ce60349e8ac82b4ec533f7cb4b1afafcb23db65dacfa10a7a392cf9d81663923,1024,sliced_w2,0.2870059829866211,0.2870059829866211,0.3821062253591584,0.42044144262466,5000,102519,5000.0,800,800,2,mosta
mosta,loto_t2,SpaTrack (PCA/Euclidean),spatial,4,2523394326,ae14caedfc47b87fdf56d8adce3e1885ce4928e38dfc78dfd945141c66f87552,1024,sliced_w2,0.2860963465567441,0.2860963465567441,0.3821062253591584,0.42044144262466,5000,102519,5000.0,800,800,2,mosta
arista,loto_t1,SpaTrack (PCA/Euclidean),joint,0,401294984,08e4e7d1b579fb9807bcb9fdbaa7957ea6012b402f2a2e9e7b64b5fa13ebc872,1024,sliced_w2,0.0758043381021521,0.0758043381021521,1.1215170651521185,1.134397481103767,5000,8106,5000.0,800,800,1,arista
arista,loto_t1,SpaTrack (PCA/Euclidean),joint,1,1640147315,77be60549d1ea167f489cf60b6dee1b1c9ad4fa84e1d2b7b209455186a0ee14e,1024,sliced_w2,0.0762186428364688,0.0762186428364688,1.1215170651521185,1.134397481103767,5000,8106,5000.0,800,800,1,arista
arista,loto_t1,SpaTrack (PCA/Euclidean),joint,2,1004849290,28e0e6065232647cdaa7d738b743de1fe75206b441c692267acff227326ad06e,1024,sliced_w2,0.0758550183627438,0.0758550183627438,1.1215170651521185,1.134397481103767,5000,8106,5000.0,800,800,1,arista
arista,loto_t1,SpaTrack (PCA/Euclidean),joint,3,3448555881,bb07edb31bca15601fbb1fc1df31455c19dbea91ec37588b586402c4adb490a2,1024,sliced_w2,0.075709955851427,0.075709955851427,1.1215170651521185,1.134397481103767,5000,8106,5000.0,800,800,1,arista
arista,loto_t1,SpaTrack (PCA/Euclidean),joint,4,611259312,0eeda3eb58204919cc2fc44d720c077254989037ffc35e58fc522c6539192f45,1024,sliced_w2,0.076004515229701,0.076004515229701,1.1215170651521185,1.134397481103767,5000,8106,5000.0,800,800,1,arista
arista,loto_t1,SpaTrack (PCA/Euclidean),state,0,441312162,0cb51e720b182c7e53802fc740cb9bf353ab6c232be5a6245a0727110a350d5e,1024,sliced_w2,0.0609739205183697,0.0609739205183697,0.9719591986509863,0.9815970988582386,5000,8106,5000.0,800,800,1,arista
arista,loto_t1,SpaTrack (PCA/Euclidean),state,1,1515122972,7b65b5a38f97c7ce9d97e94b1d9fbb905c6437c288e8e4df180a3f706dec8b9d,1024,sliced_w2,0.0605783897504502,0.0605783897504502,0.9719591986509863,0.9815970988582386,5000,8106,5000.0,800,800,1,arista
arista,loto_t1,SpaTrack (PCA/Euclidean),state,2,3102586805,3d772bd68dee2a4ec4780316cd64bab95871f914ba1568a1e315cceef59e4c6b,1024,sliced_w2,0.0604602943506048,0.0604602943506048,0.9719591986509863,0.9815970988582386,5000,8106,5000.0,800,800,1,arista
