source_obs_id,time_point_processed,Annotation,Batch,CellID
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.203,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.203
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.204,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.204
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.205,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.205
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.208,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.208
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.209,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.209
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.210,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.210
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.211,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.211
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.213,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.213
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.214,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.214
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.215,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.215
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.216,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.216
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.217,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.217
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.218,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.218
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.219,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.219
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.220,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.220
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.221,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.221
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.222,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.222
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.223,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.223
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.224,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.224
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.225,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.225
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.226,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.226
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.227,0.0,MCG,Injury_2DPI_rep1_SS200000147BL_D5,CELL.227
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.228,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.228
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.229,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.229
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.230,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.230
