dataset,target,method,space,sliced_w2,projection_sd,n_projection_repeats,input_manifest_sha256,display_name,source_role,source_file_sha256
mosta,1,paste,spatial,0.10544777578641829,0.0007124345263063795,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,PASTE,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,spateo,joint,0.06264946590071076,0.0006260618869403179,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,Spateo,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,spateo,state,0.061520856042490676,0.0008258253017271223,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,Spateo,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,spateo,spatial,0.11312091462556657,0.00018541544614796119,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,Spateo,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,random_independent_pairs,joint,0.06410571299827926,0.0007043526546388386,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,Random interpolation,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,random_independent_pairs,state,0.056795591127000424,0.0009016277065786062,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,Random interpolation,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,random_independent_pairs,spatial,0.16943838482958,0.00018171404072412693,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,Random interpolation,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,mioflow,state,0.06942174696726819,0.001621579484990376,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,MIOFlow,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,stories,state,0.056311245060815085,0.0008671749147484424,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,STORIES,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,1,wot,state,0.0584301502316632,0.0009023866682406168,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,Waddington-OT,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,2,CytoBridge-0.015,joint,0.05395540315928214,0.0010942153279477594,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,CytoBridge,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,2,CytoBridge-0.015,state,0.05211167689014612,0.0011906555150632608,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,CytoBridge,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,2,CytoBridge-0.015,spatial,0.06975839855139991,0.0002024889847191455,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,CytoBridge,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,2,stvcr,joint,0.056699868633708614,0.0014379419783554185,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,stVCR,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,2,stvcr,state,0.05550089310064724,0.0014635336224028755,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,stVCR,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
mosta,2,stvcr,spatial,0.04517617545446348,0.00015512953060305796,5,cfcae1667edc50b99ac4906ca1260140324279e36c281bdae86b6fba0ff968d9,stVCR,frozen_unaffected_formal_evaluation,432db324680e781cc21de32040136dc109801f10176167f35dcf00560243f4d1
