"SYMBOL","mapped"
"Tff3",TRUE
"Tgfbr3",TRUE
"Tgm4",TRUE
"Tgm7",TRUE
"Theg",FALSE
"Themis",TRUE
"Tle2",TRUE
"Tlx1os",FALSE
"Tmcc2",TRUE
"Tmco5b",TRUE
"Tmem238l",TRUE
"Tmem64",TRUE
"Tmem92",TRUE
"Tmprss7",TRUE
"Tmtc2",TRUE
"Tnfrsf8",TRUE
"Tnfsf8",TRUE
"Tnnc2",TRUE
"Tnni1",TRUE
"Tnni2",TRUE
"Tnnt2",TRUE
"Tnnt3",TRUE
"Tomm20l",TRUE
"Tph2",TRUE
"Tpm2",TRUE
"Traj49",TRUE
"Trank1",TRUE
"Trf",TRUE
"Trim54",TRUE
"Trim60",TRUE
"Trim66",TRUE
"Trim67",TRUE
"Triml1",TRUE
"Trp63",TRUE
"Trpm3",TRUE
"Trpv2",TRUE
"Tshb",TRUE
"Tsks",TRUE
"Ttc22",TRUE
"Ttc24",TRUE
"Tuba3b",TRUE
"Txk",TRUE
"Ugt2a2",TRUE
"Ulk3",TRUE
"Upk1b",TRUE
"Upk3bl",TRUE
"Ush2a",TRUE
"Usp20",TRUE
"Vmn1r181",TRUE
"Vmn1r203",TRUE
"Vmn1r22",TRUE
"Vmn1r5",TRUE
"Vmn1r73",TRUE
"Vmn1r86",TRUE
"Vmn2r100",TRUE
"Vmn2r102",TRUE
"Vmn2r107",TRUE
"Vmn2r109",TRUE
"Vmn2r112",TRUE
"Vmn2r117",TRUE
"Vmn2r120",TRUE
"Vmn2r19",TRUE
"Vmn2r26",TRUE
"Vmn2r30",TRUE
"Vmn2r71",TRUE
"Vmn2r73",TRUE
"Vmn2r78",TRUE
"Vmn2r80",TRUE
"Vmn2r83",TRUE
"Vmn2r98",TRUE
"Wdr20rt",TRUE
"Wdr64",TRUE
"Wdr86",TRUE
"Wfdc18",TRUE
"Wfikkn2",TRUE
"Wnt10a",TRUE
"Wnt6",TRUE
"Xdh",TRUE
"Zar1l",TRUE
"Zdhhc11",TRUE
"Zfp831",TRUE
"Zfp936",TRUE
"Zfp957",TRUE
