stage,stage_label,sender_type,receiver_type,n_sender_cells_mean,n_sender_cells_std,n_sender_cells_min,n_sender_cells_max,n_receiver_cells_mean,n_receiver_cells_std,n_receiver_cells_min,n_receiver_cells_max,edge_count_mean,edge_count_std,edge_count_min,edge_count_max,G_AB_attention_mean_mean,G_AB_attention_mean_std,G_AB_attention_mean_min,G_AB_attention_mean_max,A_AB_mass_attention_mean,A_AB_mass_attention_std,A_AB_mass_attention_min,A_AB_mass_attention_max,edge_predictor_probability_mean_mean,edge_predictor_probability_mean_std,edge_predictor_probability_mean_min,edge_predictor_probability_mean_max,spatial_distance_mean_mean,spatial_distance_mean_std,spatial_distance_mean_min,spatial_distance_mean_max,D_AB_joint_mean,D_AB_joint_std,D_AB_joint_min,D_AB_joint_max,D_AB_spatial_mean,D_AB_spatial_std,D_AB_spatial_min,D_AB_spatial_max,D_AB_state_mean,D_AB_state_std,D_AB_state_min,D_AB_state_max,n_grouping_seeds
4.0,terminal_4,Notochord,Fast Muscle Cell,171.0,0.0,171,171,274.0,0.0,274,274,83.8,10.894952959971878,73,98,3.8868169544676805,0.08902739798158235,3.8015930639372932,4.012584771195503,0.22624393932057768,0.008091880960288697,0.21780118479209365,0.23660114832896337,0.7771506701089187,0.007682825980159005,0.7664967219034831,0.788150691986084,0.06786043372956356,0.0014887039002800665,0.06629057448091251,0.07005660693888387,1.1965404704870524,0.04950572164525202,1.1318420730717131,1.259503429691628,0.0026364966500189097,0.00029076637503764946,0.0023211795082035388,0.0030140782283089606,1.196534471304881,0.04950564360148944,1.1318371353392531,1.259496950491682,5
4.0,terminal_4,Notochord,Forebrain,171.0,0.0,171,171,47.0,0.0,47,47,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Notochord,Hatching Gland,171.0,0.0,171,171,22.0,0.0,22,22,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Notochord,"Musculature System, Yolk Syncytial Layer",171.0,0.0,171,171,438.0,0.0,438,438,4.6,1.51657508881031,3,7,3.637751992997669,0.3427800556020586,3.276296555995941,4.142341661453247,0.009099990589306984,0.0027267554932352664,0.006494310525747889,0.012272258698420602,0.7772704963740849,0.02664132534593983,0.747946730681828,0.8168624490499496,0.07651904310144128,0.011709472976197496,0.05807104210058848,0.08900440484285355,0.03843882902046901,0.0097653402738137,0.028467498962613507,0.05228338150549333,0.000321110315268425,0.0001055313942489854,0.00021351565190097543,0.0004428146331570859,0.03843637140756684,0.009765077516821014,0.0284657553800236,0.052280042462647225,5
4.0,terminal_4,Notochord,Myotome,171.0,0.0,171,171,128.0,0.0,128,128,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Notochord,Nervous System,171.0,0.0,171,171,824.0,0.0,824,824,24.0,4.301162633521313,18,30,1.4043847456224587,0.03485104763279151,1.3754634050031502,1.4554981569449106,0.00890220077035061,0.0009933875078654176,0.008035975242812854,0.010474163339190571,0.7648653482077779,0.009028048239626782,0.7516473035017649,0.7736833190917969,0.06790565469664869,0.00221967125607086,0.06450964127563769,0.07020368163163464,0.0336243480936536,0.004825546594002677,0.029308896649588835,0.04119391649285517,0.0019017040750119812,0.00032622421367660924,0.0016386321677604302,0.0023165185938419245,0.03354380130821182,0.004814945308330845,0.029244457078910983,0.041099792012449295,5
4.0,terminal_4,Notochord,Notochord,171.0,0.0,171,171,171.0,0.0,171,171,130.8,8.526429498916885,122,140,1.7257058244619174,0.08339728263855903,1.6007993663732822,1.826095115847704,0.29852904941258906,0.03886991803432644,0.2663151026554057,0.34869548443915993,0.7754919874004059,0.00663036932973448,0.7692262090169466,0.7855274192686004,0.05712374137935078,0.0011237472042037251,0.05574203477945269,0.05810509484743686,2.083562987238719,0.27194973853588034,1.7842019895660517,2.4539446850226074,0.025186653657625995,0.006060071505200007,0.01896795806961392,0.03181989572364552,2.082976091980208,0.2717726860397804,1.78377381162519,2.4530998310906886,5
4.0,terminal_4,Notochord,Otic Vesicle,171.0,0.0,171,171,1.0,0.0,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Notochord,Pigment Cell,171.0,0.0,171,171,103.0,0.0,103,103,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
4.0,terminal_4,Notochord,Posterior Erythroid Lineage Cell,171.0,0.0,171,171,5.0,0.0,5,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
