dataset,target,method,space,sliced_w2,projection_sd,n_projection_repeats,display_name
chicken_heart,1,stvcr,spatial,0.35860628246210025,0.0011379532547527841,5,stVCR
chicken_heart,2,stvcr,spatial,0.24868591577588345,0.0012497438241598328,5,stVCR
chicken_heart,1,CytoBridge-0.015,state,0.08198154944232561,0.0008701049366801695,5,CytoBridge
chicken_heart,2,CytoBridge-0.015,state,0.06986869195081466,0.00035576984806526697,5,CytoBridge
chicken_heart,1,exact_ot_displacement,state,0.09195865147777478,0.0007564534402863495,5,Linear OT displacement
chicken_heart,2,exact_ot_displacement,state,0.06035700761224908,0.00074678876459674,5,Linear OT displacement
chicken_heart,1,mioflow,state,0.08871261932090904,0.0006154942275976315,5,MIOFlow
chicken_heart,2,mioflow,state,0.06034381450049416,0.0006856866114718392,5,MIOFlow
chicken_heart,1,moscot,state,0.10023131284868536,0.0006907193291921298,5,MOSCOT
chicken_heart,2,moscot,state,0.07249912900232855,0.000632130038083244,5,MOSCOT
chicken_heart,1,paste,state,0.09240205821465138,0.0007942658587906188,5,PASTE
chicken_heart,2,paste,state,0.06013202871853154,0.0007621348001045791,5,PASTE
chicken_heart,1,random_independent_pairs,state,0.0891114600124669,0.000699932723791831,5,Random interpolation
chicken_heart,2,random_independent_pairs,state,0.0639549700579617,0.0007300723591596555,5,Random interpolation
chicken_heart,1,spateo,state,0.1039520275191641,0.0008149602651011109,5,Spateo
chicken_heart,2,spateo,state,0.07610222400579245,0.0007319106400757188,5,Spateo
chicken_heart,1,stories,state,0.09662942748059682,0.0008971251267853357,5,STORIES
chicken_heart,2,stories,state,0.06619912169839541,0.0007197312101798138,5,STORIES
chicken_heart,1,stvcr,state,0.16453989517341658,0.0016936310706533177,5,stVCR
chicken_heart,2,stvcr,state,0.25796053176818984,0.00375898479930165,5,stVCR
chicken_heart,1,wot,state,0.10298470179669009,0.0007210430235173655,5,Waddington-OT
chicken_heart,2,wot,state,0.07158051551818549,0.0007446888732710373,5,Waddington-OT
