time,pair,score_min,score_geometric_mean,ligand,receptor,ligand_n_subunits,receptor_n_subunits,is_multisubunit,score_difference,absolute_difference,symmetric_relative_difference
0.0,bmp5_bmpr1ba_acvr2ab,0.0,0.0,bmp5,bmpr1ba_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1ba_acvr2ba,0.0,0.0,bmp5,bmpr1ba_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1ba_acvr2bb,0.0,0.0,bmp5,bmpr1ba_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1ba_bmpr2b,0.0,0.0,bmp5,bmpr1ba_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1bb_acvr2aa,0.0,0.0,bmp5,bmpr1bb_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1bb_acvr2ab,0.0,0.0,bmp5,bmpr1bb_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1bb_acvr2ba,0.0,0.0,bmp5,bmpr1bb_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1bb_acvr2bb,0.0,0.0,bmp5,bmpr1bb_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp5_bmpr1bb_bmpr2b,0.0,0.0,bmp5,bmpr1bb_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp6_acvr1ba_acvr2aa,0.0,0.0,bmp6,acvr1ba_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp6_acvr1ba_acvr2ab,0.0,0.0,bmp6,acvr1ba_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp6_acvr1ba_acvr2ba,0.0,0.0,bmp6,acvr1ba_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp6_acvr1ba_acvr2bb,0.0,0.0,bmp6,acvr1ba_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp6_acvr1bb_acvr2aa,0.0,0.0,bmp6,acvr1bb_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp6_acvr1bb_acvr2ab,0.0,0.0,bmp6,acvr1bb_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp6_acvr1bb_acvr2ba,0.0,0.0,bmp6,acvr1bb_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp6_acvr1bb_acvr2bb,0.0,0.0,bmp6,acvr1bb_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1aa_acvr2aa,0.0,0.0,bmp6,bmpr1aa_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1aa_acvr2ab,0.0,0.0,bmp6,bmpr1aa_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1aa_acvr2ba,0.0,0.0,bmp6,bmpr1aa_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1aa_acvr2bb,0.0,0.0,bmp6,bmpr1aa_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1aa_bmpr2b,0.0,0.0,bmp6,bmpr1aa_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1ab_acvr2aa,0.0,0.0,bmp6,bmpr1ab_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1ab_acvr2ab,0.0,0.0,bmp6,bmpr1ab_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1ab_acvr2ba,0.0,0.0,bmp6,bmpr1ab_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1ab_acvr2bb,0.0,0.0,bmp6,bmpr1ab_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1ab_bmpr2b,0.0,0.0,bmp6,bmpr1ab_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1ba_acvr2aa,0.0,0.0,bmp6,bmpr1ba_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1ba_acvr2ab,0.0,0.0,bmp6,bmpr1ba_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1ba_acvr2ba,0.0,0.0,bmp6,bmpr1ba_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1ba_acvr2bb,0.0,0.0,bmp6,bmpr1ba_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1ba_bmpr2b,0.0,0.0,bmp6,bmpr1ba_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1bb_acvr2aa,0.0,0.0,bmp6,bmpr1bb_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1bb_acvr2ab,0.0,0.0,bmp6,bmpr1bb_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1bb_acvr2ba,0.0,0.0,bmp6,bmpr1bb_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1bb_acvr2bb,0.0,0.0,bmp6,bmpr1bb_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp6_bmpr1bb_bmpr2b,0.0,0.0,bmp6,bmpr1bb_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp7a_acvr1ba_acvr2aa,3.343958354498167e-06,8.482677857939917e-06,bmp7a,acvr1ba_acvr2aa,1,2,True,5.13871950344175e-06,5.13871950344175e-06,0.605789774113823
0.0,bmp7a_acvr1ba_acvr2ab,0.0,0.0,bmp7a,acvr1ba_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp7a_acvr1ba_acvr2ba,0.0,0.0,bmp7a,acvr1ba_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp7a_acvr1ba_acvr2bb,0.0,0.0,bmp7a,acvr1ba_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp7a_acvr1bb_acvr2aa,0.0,0.0,bmp7a,acvr1bb_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp7a_acvr1bb_acvr2ab,0.0,0.0,bmp7a,acvr1bb_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp7a_acvr1bb_acvr2ba,0.0,0.0,bmp7a,acvr1bb_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp7a_acvr1bb_acvr2bb,0.0,0.0,bmp7a,acvr1bb_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1aa_acvr2aa,3.343958354498167e-06,4.393156971354385e-06,bmp7a,bmpr1aa_acvr2aa,1,2,True,1.0491986168562174e-06,1.0491986168562174e-06,0.23882566083969353
0.0,bmp7a_bmpr1aa_acvr2ab,0.0,0.0,bmp7a,bmpr1aa_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1aa_acvr2ba,0.0,0.0,bmp7a,bmpr1aa_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1aa_acvr2bb,0.0,0.0,bmp7a,bmpr1aa_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1aa_bmpr2b,0.0,0.0,bmp7a,bmpr1aa_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1ab_acvr2aa,0.0,0.0,bmp7a,bmpr1ab_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1ab_acvr2ab,0.0,0.0,bmp7a,bmpr1ab_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1ab_acvr2ba,0.0,0.0,bmp7a,bmpr1ab_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1ab_acvr2bb,0.0,0.0,bmp7a,bmpr1ab_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1ab_bmpr2b,0.0,0.0,bmp7a,bmpr1ab_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1ba_acvr2ba,0.0,0.0,bmp7a,bmpr1ba_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1ba_acvr2bb,0.0,0.0,bmp7a,bmpr1ba_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1ba_bmpr2b,0.0,0.0,bmp7a,bmpr1ba_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1bb_acvr2ba,0.0,0.0,bmp7a,bmpr1bb_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1bb_acvr2bb,0.0,0.0,bmp7a,bmpr1bb_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp7a_bmpr1bb_bmpr2b,0.0,0.0,bmp7a,bmpr1bb_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp7b_acvr1ba_acvr2aa,0.0,0.0,bmp7b,acvr1ba_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp7b_acvr1ba_acvr2ab,0.0,0.0,bmp7b,acvr1ba_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp7b_acvr1ba_acvr2ba,0.0,0.0,bmp7b,acvr1ba_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp7b_acvr1ba_acvr2bb,0.0,0.0,bmp7b,acvr1ba_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp7b_acvr1bb_acvr2aa,0.0,0.0,bmp7b,acvr1bb_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp7b_acvr1bb_acvr2ab,0.0,0.0,bmp7b,acvr1bb_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp7b_acvr1bb_acvr2ba,0.0,0.0,bmp7b,acvr1bb_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp7b_acvr1bb_acvr2bb,0.0,0.0,bmp7b,acvr1bb_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp7b_bmpr1aa_acvr2aa,0.0,0.0,bmp7b,bmpr1aa_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp7b_bmpr1aa_acvr2ab,0.0,0.0,bmp7b,bmpr1aa_acvr2ab,1,2,True,0.0,0.0,0.0
