pair,pair_id,ligand,receptor,auc,peak_time,peak_score,start_score,end_score,delta_end_start,score_range,pair_id_identity,ligand_identity,receptor_identity,cluster
VEGFA_FLT1,"[""VEGFA"",""FLT1""]",VEGFA,FLT1,0.1831803721705237,2.5,0.0628384603922826,0.0628295445323378,0.0389356145986986,-0.0238939299336392,0.0445634125301216,"[""VEGFA"",""FLT1""]",VEGFA,FLT1,1
LAMA3_SV2A,"[""LAMA3"",""SV2A""]",LAMA3,SV2A,0.1603304754128364,2.5,0.0597910546153855,0.0097513085430326,0.0212802558338125,0.0115289472907798,0.0500397460723528,"[""LAMA3"",""SV2A""]",LAMA3,SV2A,1
VEGFA_FLT1_KDR,"[""VEGFA"",""FLT1_KDR""]",VEGFA,FLT1_KDR,0.1200835678231185,2.5,0.0501901826609757,0.0165624337747763,0.0308519795566197,0.0142895457818433,0.0436618256127953,"[""VEGFA"",""FLT1_KDR""]",VEGFA,FLT1_KDR,1
FN1_CD44,"[""FN1"",""CD44""]",FN1,CD44,0.1090323599070849,2.5,0.0541206109931697,0.0046909021668374,0.0264807636489169,0.0217898614820794,0.0494297088263322,"[""FN1"",""CD44""]",FN1,CD44,1
LAMA2_ITGA9_ITGB1,"[""LAMA2"",""ITGA9_ITGB1""]",LAMA2,ITGA9_ITGB1,0.0797462851931437,2.5,0.031124187395176,0.0053359235101156,0.0121028671391088,0.0067669436289931,0.0257882638850604,"[""LAMA2"",""ITGA9_ITGB1""]",LAMA2,ITGA9_ITGB1,1
CDH1_ITGAE_ITGB7,"[""CDH1"",""ITGAE_ITGB7""]",CDH1,ITGAE_ITGB7,0.0575411428583375,2.5,0.028025893947225,0.0055630392334424,0.0055917174622468,2.8678228804393698e-05,0.0259960625340824,"[""CDH1"",""ITGAE_ITGB7""]",CDH1,ITGAE_ITGB7,1
NPPC_NPR2,"[""NPPC"",""NPR2""]",NPPC,NPR2,0.0548211817444123,2.5,0.0239626938268604,0.0142745725802805,0.003308515096544,-0.0109660574837364,0.0206541787303164,"[""NPPC"",""NPR2""]",NPPC,NPR2,1
BMP5_BMPR1A_ACVR2A,"[""BMP5"",""BMPR1A_ACVR2A""]",BMP5,BMPR1A_ACVR2A,0.0465925583704596,2.5,0.021072929635649,0.0180044398617081,0.002395647664454,-0.015608792197254,0.0186772819711949,"[""BMP5"",""BMPR1A_ACVR2A""]",BMP5,BMPR1A_ACVR2A,1
BMP5_BMPR1A_BMPR2,"[""BMP5"",""BMPR1A_BMPR2""]",BMP5,BMPR1A_BMPR2,0.0465925583704596,2.5,0.021072929635649,0.0180044398617081,0.002395647664454,-0.015608792197254,0.0186772819711949,"[""BMP5"",""BMPR1A_BMPR2""]",BMP5,BMPR1A_BMPR2,1
PTPRC_MRC1,"[""PTPRC"",""MRC1""]",PTPRC,MRC1,0.0122050171969441,2.5,0.0057034651694064,0.0008638522994933,0.0016438909382317,0.0007800386387384,0.0049926909019991,"[""PTPRC"",""MRC1""]",PTPRC,MRC1,1
LAMA3_ITGA7_ITGB1,"[""LAMA3"",""ITGA7_ITGB1""]",LAMA3,ITGA7_ITGB1,0.0074847043575951,2.5,0.0030930056080802,0.0002849313276461,0.000665433091807,0.0003805017641608,0.0028080742804341,"[""LAMA3"",""ITGA7_ITGB1""]",LAMA3,ITGA7_ITGB1,1
LAMA3_ITGA1_ITGB1,"[""LAMA3"",""ITGA1_ITGB1""]",LAMA3,ITGA1_ITGB1,0.0053160760248528,2.5,0.0023447032313503,0.000247928018586,0.0001727609505736,-7.51670680124335e-05,0.0021719422807767,"[""LAMA3"",""ITGA1_ITGB1""]",LAMA3,ITGA1_ITGB1,1
NRTN_GFRA2_RET,"[""NRTN"",""GFRA2_RET""]",NRTN,GFRA2_RET,0.0025533875392394,2.5,0.0012649659813176,4.312563852247647e-05,0.0006793620135324,0.0006362363750099,0.0012218403427951,"[""NRTN"",""GFRA2_RET""]",NRTN,GFRA2_RET,1
WNT3A_FZD10_LRP6,"[""WNT3A"",""FZD10_LRP6""]",WNT3A,FZD10_LRP6,0.0997718167542601,3.0,0.0425905864525486,0.008718899300697,0.0299436966435589,0.0212247973428618,0.0338716871518516,"[""WNT3A"",""FZD10_LRP6""]",WNT3A,FZD10_LRP6,1
WNT3A_FZD10_LRP5,"[""WNT3A"",""FZD10_LRP5""]",WNT3A,FZD10_LRP5,0.0997694271563334,3.0,0.0425879211080474,0.0087156042422248,0.0299436966435589,0.021228092401334,0.0338723168658225,"[""WNT3A"",""FZD10_LRP5""]",WNT3A,FZD10_LRP5,1
SEMA5B_PLXNA3,"[""SEMA5B"",""PLXNA3""]",SEMA5B,PLXNA3,31.855924874592237,3.5,11.39523657662391,7.116832420685957,9.220252396331572,2.1034199756456156,6.5899674000274,"[""SEMA5B"",""PLXNA3""]",SEMA5B,PLXNA3,1
NRXN3_NLGN3,"[""NRXN3"",""NLGN3""]",NRXN3,NLGN3,24.530550209193585,3.5,9.027865243388062,4.6345215616790085,7.459585862699522,2.8250643010205136,5.435037523954042,"[""NRXN3"",""NLGN3""]",NRXN3,NLGN3,1
SEMA6A_PLXNA4,"[""SEMA6A"",""PLXNA4""]",SEMA6A,PLXNA4,20.88279851496377,3.5,8.408507991967472,2.9366881947497907,5.353406558538279,2.4167183637884886,5.471819797217681,"[""SEMA6A"",""PLXNA4""]",SEMA6A,PLXNA4,1
EFNB1_EPHA4,"[""EFNB1"",""EPHA4""]",EFNB1,EPHA4,19.33600528886742,3.5,8.548264340254295,5.590115625612883,5.873026664373005,0.2829110387601217,6.025376190827387,"[""EFNB1"",""EPHA4""]",EFNB1,EPHA4,1
NRXN3_NLGN2,"[""NRXN3"",""NLGN2""]",NRXN3,NLGN2,16.47816412157802,3.5,6.643179983122893,3.2567922551034116,4.525927283825785,1.2691350287223735,4.19088026104376,"[""NRXN3"",""NLGN2""]",NRXN3,NLGN2,1
NRXN2_NLGN2,"[""NRXN2"",""NLGN2""]",NRXN2,NLGN2,15.893948478070053,3.5,6.462802268695032,2.325803404780705,4.672025081148215,2.34622167636751,4.4291651833522625,"[""NRXN2"",""NLGN2""]",NRXN2,NLGN2,1
JAM2_JAM2,"[""JAM2"",""JAM2""]",JAM2,JAM2,15.741764823273986,3.5,6.284314063169727,3.739753221874008,5.9622735780990865,2.222520356225078,3.9883045849133913,"[""JAM2"",""JAM2""]",JAM2,JAM2,1
WNT7B_FZD2_LRP6,"[""WNT7B"",""FZD2_LRP6""]",WNT7B,FZD2_LRP6,15.51318321592055,3.5,5.5169220527262315,2.712282411440372,5.003638921361983,2.2913565099216107,3.188956018428201,"[""WNT7B"",""FZD2_LRP6""]",WNT7B,FZD2_LRP6,1
WNT7B_FZD3_LRP6,"[""WNT7B"",""FZD3_LRP6""]",WNT7B,FZD3_LRP6,15.121789976539777,3.5,5.48164747225035,2.762161437953698,5.0036102640704305,2.2414488261167325,3.177507444807558,"[""WNT7B"",""FZD3_LRP6""]",WNT7B,FZD3_LRP6,1
WNT7B_FZD3_LRP5,"[""WNT7B"",""FZD3_LRP5""]",WNT7B,FZD3_LRP5,14.743065027828935,3.5,4.662980309189437,3.3230925574173926,4.603337990354186,1.2802454329367934,2.8305073130726512,"[""WNT7B"",""FZD3_LRP5""]",WNT7B,FZD3_LRP5,1
NRXN1_NLGN3,"[""NRXN1"",""NLGN3""]",NRXN1,NLGN3,11.253771521605724,3.5,4.475134098768073,1.8836460398094417,4.00366291324501,2.120016873435568,3.051334732470691,"[""NRXN1"",""NLGN3""]",NRXN1,NLGN3,1
